Code,Name,Description,Vector,Credits,Price,Availability,Equivalences,Exclusion,Prereq1,Prereq2,Prereq3,Prereq4,Coreq1,Coreq2,isHonours,maxCredits
BIOC412,Methods in Metabolomics,"Chemical analysis of the metabolites in biological samples: study design, sample extractions, method development and validation, targeted and untargeted experiments, data processing, isotope tracer studies, chemoinformatics, compound identification, metabolic pathway and network mapping, data interpretation and presentation.",,3,,1;0;0;0,,BIOL412;CHEM533,4,CHEM211;BIOC211,,,,,,
BIOL116,Biology for Science Majors I,First of a pair of courses that introduce students to the biological concepts necessary to continue into second-year biology. Covers evolutionary theory and its underlying genetic basis; basic cell biology; plant and animal nutrition; and energy acquisition. Credit will be granted for only BIOL 116/125 or BIOL 117/122.,,3,,1;0;1;0,,BIOL117,,,,,CHEM111;CHEM121,,,
BIOL117,Evolution and Ecology,"Evolutionary theory and its underlying genetic basis; population, community, ecosystem, and behavioural ecology. Specific case studies and current environmental concerns.",,3,,1;0;0;0,,BIOL116,,,,,,,,
BIOL121,,,,3,,1;0;0;0,,,,,,,,,,
BIOL122,Physiology of Multicellular Organisms,Physiological adaptations of plants and animals to their environments. Structure/function relationships of human organ systems.,,3,,0;1;0;0,,BIOL125,,,,,,,,
BIOL125,Biology for Science Majors II,Continuation of BIOL 116. Introduction to biological concepts necessary for second-year biology. Physiology of reproduction; gas exchange; inter-organ transport; inter-organ coordination in plants and animals; and excretion and movement in animals. Ecosystem; population; community; and behavioural ecology are discussed. Credit will be granted for only one of BIOL 116/125 or BIOL 117/122.,,3,,0;1;0;1,,BIOL122,BIOL116,,,,CHEM113;CHEM123,,,
BIOL131,Human Anatomy and Physiology I,"Introduction to human structures and functions, emphasizing basic physiological principles, plus cell and tissue structure. Laboratory work will include gross and microscopic anatomy, and will demonstrate underlying physiological processes. This course is for students planning to enrol in BIOL 133 in their second term.",,3,,1;0;0;0,,HES101;HMKN190,,,,,,,,
BIOL133,Human Anatomy and Physiology II,Continuation and completion of the comprehensive survey of human structures and functions started in BIOL 131.,,3,,0;1;0;0,,"HES111, HMKN191",BIOL131,,,,,,,
BIOL200,Cell Biology,"Structure and function of plant and animal cells; membrane models, cytoplasmic organelles, biological information from gene to protein, the endomembrane system, secretion, intracellular digestion, endocytosis, transport processes, cytoskeleton and cell motility.",,3,,1;1;0;0,,,BIOL125,CHEM113;CHEM123,,,,,,
BIOL201,Introduction to Evolution and Ecology,Fundamental processes underlying adaptive evolution; speciation; and extinction. Methods used to reconstruct the evolutionary histories of; and relationships among; groups of organisms. Factors determining the distribution and abundance of organisms. Competition; predation; and an exploration of processes that promote species coexistence and lead to the maintenance of species diversity.,,3,,0;1;0;0,,,BIOL125,,,,,,,
BIOL202,Introduction to Biostatistics,Introduction to statistics; with emphasis on the application of commonly applied parametric and non-parametric statistical methods in the biological sciences. Use of computer software to manage data; conduct statistical analyses; and report findings in publishable formats. Credit will be granted for only one of BIOL 202 and BIOL 304.,,3,,1;0;0;0,,,2,MATH100,,,,,,
BIOL203,,,,3,,0;0;0;0,,BIOL304,,,,,,,,
BIOL204,ertebrate Structure and Function,"Introduction to the vertebrate phyla and their evolution; comparative study of vertebrate structure and function, with dissection of representative forms.",,3,,1;0;0;0,,,BIOL125,,,,,,,
BIOL205,Comparative Invertebrate Zoology,Introduction to the invertebrate phyla.,,3,,0;1;0;0,,,BIOL125,,,,,,,
BIOL210,Land Plants,"Comparative study of bryophytes, pteridophytes, gymnosperms, and angiosperms, integrating form, function, and ecology.",,3,,0;1;0;0,,,BIOL125,,,,,,,
BIOL228,Introductory Microbiology,"An introductory course providing a broad background in microbiology. Topics include structure, metabolism, diversity of micro-organisms, microbial genetics, virology, and immunology. Laboratory work will include techniques and experiments relevant to lectures.",,3,,1;0;0;0,,,BIOL125,,,,CHEM203;CHEM213,,,
BIOL232,Human Infectious Disease,"Agents of infectious disease in humans. Physiology and structure, mechanisms ofpathogenesis, immunological response, clinical disease caused, laboratorydiagnosis, treatment, prevention, and control. Properties and uses of antimicrobial agents, resistance, vaccines, and bioterrorism.",,3,,0;1;0;0,,BIOL314,BIOL235;HINT231,,,,,,,
BIOL235,,,,3,,0;0;0;0,,,,,,,,,,
BIOL250,,,,3,,0;0;0;0,,,,,,,,,,
BIOL265,Principles of Genetics,"Mendelian genetics, gene expression, recombination, mutation, evolution, and molecular techniques. Examples will be drawn from both eukaryotic and prokaryotic systems. ",,3,,1;1;0;0,,BIOL365,BIOL125,,,,,,,
BIOL300,Advanced Cell Biology,"Functional anatomy of structural cells and other specialized types. Structures and processes including extracellular matrix, cell adhesion, cytoskeleton, apoptosis and autophagy. Techniques for analysis of subcellular components.",,3,,1;0;0;0,,,BIOL200,,,,,,,
BIOL301,Evolutionary Principles and Methods,"An exploration of the field of Evolutionary Biology as an ongoing scientific endeavour. Current research methodology and development of concepts relating to the study of evolutionary change, adaptation, and the history of life will be examined.",,3,,0;1;0;0,,,BIOL201,,,,,,,
BIOL304,,,,3,,0;0;0;0,,,,,,,,,,
BIOL307,,,,3,,0;0;0;0,,,,,,,,,,
BIOL308,Population Biology,Introduction to the study of plant and animal populations. Demography; single species growth; competition; predation; and natural selection.,,3,,1;0;0;0,,,MATH100,BIOL201;GEOG207,,,,,,
BIOL311,Biochemistry I,"Structure and function of proteins, carbohydrates, lipids, and nucleic acids. Principles of thermodynamics and enzyme reaction mechanisms. Enzyme kinetics.",,3,,1;0;0;0,,BIOC304,BIOL116,CHEM204;CHEM214,,,,,,
BIOL312,Virology,"Study of viral agents of infectious disease in eukaryotes. Viral pathogens investigated with respect to classification, structure, replication, mechanisms of pathogenesis, clinical disease caused, epidemiology, laboratory diagnosis, treatment, prevention, and control. Topics include properties and uses of antiviral agents, production and use of vaccines, and bioterrorism.",,3,,0;1;0;0,,,BIOL228,,,,,,,
BIOL314,Medical Microbiology,"Bacterial and fungal agents of infectious animal diseases. Physiology and structure, mechanisms of pathogenesis, immunological response, clinical disease caused, epidemiology, laboratory diagnosis, treatment, prevention, and control. Properties and uses of antibacterial and antifungal agents, resistance, vaccines, and bioterrorism.",,3,,1;0;0;0,,,BIOL228,,,,,,,
BIOL318,Immunology,"Introduction to concepts of immunology. Immune system, innate immunity and complement, adaptive immunity, cellular and humoral immune response, cytokines, T-cell activation, the major histocompatibility complex, antibody structure and genetics, immune system and cancer, AIDS, autoimmunity, hypersensitivity.",,3,,1;1;0;0,,,BIOL228,,,,,,,
BIOL319,Biochemistry II,"Continuation of BIOL 311. Energy production via glycolysis, oxidative phosphorylation, and photosynthesis. Integration and control of carbohydrate, lipid, and protein metabolism. Synthesis, and metabolism of nucleic acids and the biochemistry of gene function.",,3,,0;1;0;0,,,BIOL311,,,,,,,
BIOL365,,,,3,,0;0;0;0,,,,,,,,,,
BIOL401,Spatial Ecology,"Spatial patterns in ecology, exploring ways to describe variation and mechanisms that give rise to patterns. Dispersal, metapopulation and source-sink dynamics, connectivity and fragmentation, heterogeneity, disturbance, edges, and dynamics of geographical ranges.",,3,,1;0;0;0,,BIOL512,BIOL202;STAT230,,,,,,,
BIOL410,Plant-Microbe Interactions,"Ecological, physiological, and molecular perspectives will be covered on root-associated micro-organisms with the potential to benefit plants. Implications for agriculture, forestry, bioremediation, and conservation.",,3,,1;0;0;0,,BIOL510,BIOL228,,,,,,,
BIOL414,,,,3,,0;0;0;0,,,,,,,,,,
BIOL417,Evolutionary Ecology,"Advanced survey of the field of evolutionary ecology: the study of the ecological basis for the evolution of life histories, sex, mating strategies, and foraging strategies.",,3,,0;1;0;0,,BIOL517,BIOL308,BIOL202;STAT230,,,,,,
BIOL426,Cancer Biology,"The molecular and cellular basis of cancer. Introduction to principles of oncology including prevention, diagnosis and treatment.",,3,,0;1;0;0,,,BIOL311;BIOL304,BIOL200,BIOL265,BIOL318,,,,
BIOL444,,,,3,,0;0;0;0,,,,,,,,,,
BIOL460,,,,3,,0;0;0;0,,,,,,,,,,
BIOL461,Cell Singnaling,"Cell SignalinSignal transduction mechanisms of cells as mediators of responses to their environments. Interplay between signaling pathways, and relationships between signaling defects, disease, and therapeutic agents, with a focus on eukaryotic cells.",,3,,0;1;0;0,,,BIOL200,BIOL311;BIOC304,,,,,,
BIOL468,Molecular Approaches in Ecology and Evolution,Techniques for collecting molecular and population genetic data. Applications in ecology; evolution; and conservation. Characteristics of molecular markers; associated analytical approaches; emerging genomic technologies; and case studies. Credit will be granted for only one of BIOL 468 or BIOL 568.,,3,,0;0;0;0,,BIOL568,BIOL201,,,,,,,
BIOL510,,,,3,,0;0;0;0,,,,,,,,,,
BIOL512,,,,3,,0;0;0;0,,,,,,,,,,
BIOL517,Evolutionary Ecology,"Advanced survey of the field of evolutionary ecology: the study of the ecological basis for the evolution of life histories, sex, mating strategies, and foraging strategies.",,3,,0;1;0;0,,BIOL417,,,,,,,,
CHEM111,Principles of Chemistry I,Stoichiometry; atomic and molecular structure; chemical periodicity; gases; liquids; solids; and solutions. Not open to students with Chemistry 12. Credit will be granted for only one of CHEM 111 or CHEM 121.,,3,,0;0;0;0,,CHEM121,,,,,,,,
CHEM113,Principles of Chemistry II,General and ionic equilibrium; solubility; thermodynamics. Introductory organic chemistry: stereochemistry; substitution; elimination; and oxidation-reduction reactions. Not open to students with CHEM 121. This course or CHEM 123 is prerequisite to all subsequent courses in Chemistry. Credit will be granted for only one of CHEM 113 or CHEM 123.,,3,,0;0;0;0,,CHEM123,CHEM111,,,,,,,
CHEM121,Atomic and Molecular Chemistry,Stoichiometry; atomic and molecular structure; chemical periodicity; gases; liquids; solids; and solutions. Required course for all students needing a first-year Chemistry course who have Chemistry 12. Credit will be granted for only one of CHEM 121 or CHEM 111.,,3,,1;0;1;0,,CHEM111,,,,,,,,
CHEM123,Physical and Organic Chemistry,Principles of equilibrium and chemical thermodynamics. Introductory organic chemistry: stereochemistry; substitution; elimination; and oxidation-reduction reactions. This course or CHEM 113 is prerequisite to all subsequent courses in Chemistry. Credit will be granted for only one of CHEM 123 or CHEM 113.,,3,,1;1;0;0,,CHEM113,CHEM121,,,,,,,
CHEM201,Introduction to Physical Chemistry,"Principles of chemical kinetics, reaction mechanisms, and chemical thermodynamics.",,3,,0;1;0;0,,CHEM210,MATH101;MATH103,PHYS121;PHYS122,CHEM113;CHEM123,,,,,
CHEM203,Introduction to Organic Chemistry,"Structure, bonding, and physical properties of aliphatic and aromatic compounds; conformational analysis, stereochemistry, and NMR spectroscopy; substitution and elimination reactions of alkyl halides; ethers, epoxides, aldehydes, ketones.",,3,,1;0;1;0,,CHEM213,CHEM113;CHEM123,,,,,,,
CHEM204,Organic Chemistry,"Mechanistic analysis of chemical reactivity of common functional groups, with focus on carbonyl chemistry; aromaticity and aromatic substitution; functional group transformations in organic synthesis; carbohydrates, amino acids, proteins, heterocycles.",,3,,0;1;0;1,,CHEM214,CHEM203,,,,,,,
CHEM210,,,,3,,0;0;0;0,,,,,,,,,,
CHEM211,Analytical Chemistry,"Methods of measurement, statistical analysis and errors of measurement, method development and validation, the meaning of test results, accuracy, precision, biosensors, analytical electrochemistry, chemical separation, introduction to gas and liquid chromatography.",,3,,1;0;0;0,,BIOC211,CHEM113;CHEM123,PHYS121;PHYS122,,,,,,
CHEM213,Organic Chemistry for Biological Sciences I,"Structure, bonding, and physical properties of organic compounds; conformational analysis, stereochemistry, and chirality; reactions of alkenes, alkyl halides, and alcohols. Emphasis will be placed on biological applications.",,3,,1;0;0;0,,CHEM203,CHEM113;CHEM123,,,,,,,
CHEM214,Organic Chemistry for Biological Sciences II,"Mechanistic description of aromatic substitution, reactions of carbonyl compounds and amines, oxidation/reduction reactions. Chemistry of carbohydrates, amino acids, vitamins, lipids, nucleotides.",,3,,0;1;0;0,,CHEM204,CHEM203;CHEM213,,,,,,,
CHEM220,Atomic Structure and Molecular Bonding,"Examination of various theories of atomic structure and molecular bonding, and their use to explain chemical and physical properties of atoms and molecules. Atomic wave mechanics, Lewis theory, valence bond theory, crystal field theory, symmetry and group theory, and molecular orbital theory of diatomic and polyatomic molecules and extended solids.",,3,,1;0;0;0,,,CHEM113;CHEM123,,,,,,,
CHEM301,Aqueous Environmental Chemistry,"Properties of natural waters, including gas and solid equilibria, pH, redox, complexation analysis, corrosion treatment, ion exchange, colloids, and microbial transformations.",,3,,0;1;0;0,,,MATH101;MATH103,CHEM201;CHEM210,,,,,,
CHEM302,Atmospheric Environmental Chemistry,"Introduction to structure, composition, and chemical processes occurring in Earth's atmosphere including interactions with solar radiation, stratospheric ozone layer, photochemical smog, and acid rain.",,3,,1;0;0;0,,,MATH101;MATH103,CHEM113;CHEM123,PHYS121;PHYS122,,,,,
CHEM304,Advanced Physical Chemistry,"Review of thermodynamics concepts; solution thermodynamics; electrochemistry; chemical equilibria, phase equilibria, colloid science. Emphasis on applications of thermodynamics to both chemical and biochemical systems.",,3,,1;0;0;0,,,CHEM201,,,,,,,
CHEM305,Biophysical Chemistry,"Diffusion and transport phenomena of biomolecules. Interaction of radiation and matter in biochemical systems. Methods to determine molar mass, size, and shape of biomolecules in solution.",,3,,1;0;0;0,,,CHEM201;CHEM210,,,,,,,
CHEM313,Advanced Organic Chemistry for the Life Sciences,Chemistry of organic substances having particular relevance to the life sciences.,,3,,0;1;0;0,,,CHEM213,,,,,,,
CHEM330,Advanced Organic Chemistry,"Application of carbonyl group chemistry, cyclization reactions, conformational analysis and rearrangement reactions in organic synthesis.",,3,,1;0;0;0,,,CHEM213,,,,,,,
CHEM403,Enzymology,"Enzyme kinetics: steady-state kinetic analyses, fast-reaction methods, kinetic isotope effects. Catalytic mechanisms: coenzymology, radical-mediated reactions, catalytic rate enhancements. Special topics: enzyme evolution, multifunctional enzymes, biocatalysis, protein engineering.",,3,,0;1;0;0,BIOC403;CHEM413;CHEM569,,BIOC304;BIOL311,,,,,,,
CHEM412,Methods in Metabolomics,"Chemical analysis of the metabolites in biological samples: study design, sample extractions, method development and validation, targeted and untargeted experiments, data processing, isotope tracer studies, chemoinformatics, compound identification, metabolic pathway and network mapping, data interpretation and presentation. ",,3,,1;0;0;0,CHEM533;BIOC412,,4,CHEM211,,,,,,
CHEM413,Bioorganic Chemistry,Enzyme catalysis; mechanistic enzymology; chemistry of cofactors; biosynthetic transformations; natural product biosynthesis; topics in chemical biology.,,3,,1;0;0;0,CHEM569;BIOC403,,CHEM313;CHEM330,,,,,,,
CHEM533,,,,3,,0;0;0;0,,,,,,,,,,
CHEM569,Advanced Bioorganic Chemistry,,,3,,0;0;0;0,CHEM413;BIOC403,,,,,,,,,
COSC101,Digital Citizenship,Provides knowledge and skills to navigate the digital society. The importance of digital participation will be investigated by studying issues surrounding digital access; skills; and utilization. Digital literacy is emphasized through the exploration of computer applications; the use of converging technologies; and online resources. This course does not assume students have any Computer Science background.,[3-2-0],3,,1;1;1;0,,,,,,,,,,
COSC111,Computer Programming I,Introduction to the design; implementation; and understanding of computer programs. Topics include problem solving; algorithm design; and data and procedural abstraction; with emphasis on the development of working programs. This course should be followed by COSC 121.,[3-2-0],3,,1;1;1;0,,,,,,,,,,
COSC114,Vector Graphics and Animations,Foundation and applications of 2D /3D Euclidean geometry necessary for the computer manipulation of curves and surfaces; decomposition of a picture into basic objects; planar and spatial linear transformations; automatic picture generation and introduction to algorithmic art.,[3-2-0],3,,0;0;0;0,,,,,,,,,,
COSC121,Computer Programming II,Advanced programming in the application of software engineering techniques to the design and implementation of programs manipulating complex data structures.,[3-2-0],3,,0;1;1;0,,,COSC111-60;COSC123-60,,,,,,,
COSC122,Computer Fluency,Introduction to computer skills (electronic communication; websites; Internet; document editing; programming; data analysis using spreadsheets/databases) and concepts (information representation; abstraction; algorithmic thinking). Course objectives are lifelong productivity and understanding of technology in society. ,[3-2-0],3,,1;0;1;0,,,,,,,,,,
COSC123,Computer Creativity,A hands-on introduction to programming and computer-based problem solving and creativity. Experience with application development including storytelling; graphics; games; and networking.,[3-2-0],3,,0;1;0;0,,,COSC111;COSC122,,,,,,,
COSC150,Physical Computing,Physical computing is the design and building of hardware and software systems for sensing; processing; and affecting the analog world. Principles of physical computing; including basic electricity; digital logic; and analogue and digital electronics. Systems design for interfacing with microprocessors; sensors; and actuators using analogue and digital elements and signals. Programming for embedded systems.,[3-2-0],3,,0;0;0;0,,,,,,,COSC111;COSC122;APSC177,,,
COSC210,Software Construction,Design; and implementation of software components. Data structures; object-oriented design; debugging; testing. Credits will only be granted for one of COSC 210 or COSC 222.,[3-2-2*],4,,0;1;0;0,,,COSC111;APSC177,,,,,,,
COSC211,Machine Architecture,Organization and design of computer systems and their impact on the practice of software development. Instruction set architecture and assembly programming languages; design of central processing units (CPU); memory hierarchy and cache organization; input and output programming.,[3-2-0],3,,1;0;1;0,,,COSC121,,,,,,,
COSC221,Introduction to Discrete Structures,Introduction to sets; logic; combinatorics; and graph theory; as applied in computing: sets and propositions; permutations and combinations; graphs and trees; Boolean algebra; algorithms; and applications.,[3-0-1],3,,1;1;0;1,,,MATH101;MATH142;APSC172,,,,COSC121,,,
COSC222,Data Structures,Introduction to the design; implementation and analysis of data structures. Topics will include lists; stacks; queues; trees; and graphs. Credit will only be granted for one of COSC 210 or COSC 222.,[3-2-0],3,,1;0;1;0,,,COSC121-60,,,,,,,
COSC223,"Principle of Computing: Logic, Discrete Structure, and Data Structure",Propositional logic and logic inference; problem-solving techniques (recursion; induction; and mathematical proof); models of computation (theory of finite automata); graph theory; data structures (linear data structures; dictionaries; and graphs); basic algorithmic techniques.,[3-2-0],3,,0;0;0;0,,,COSC114;APSC171,COSC111;COSC123,,,,,,
COSC247,Networks and Social Media,Online social networks and digital social media. Social media platforms; channels; and software tools. Graph-theoretic and game-theoretic foundation of network analysis and network science. Network metrics and evaluation. Computational; economic; and social aspects of social media.,[3-2-0],3,,0;0;0;0,,,COSC223,,,,,,,
COSC264,Introduction to Web Development and Databases,Construction of simple database-driven websites. Introduction to web programming: client-side; server-side; database design; implementation; and query.,[3-2-0],3,,0;0;0;0,,,COSC121;COSC223,,,,,,,
COSC301,Introduction to Data Analytics,Techniques for computation; analysis; and visualization of data using software. Manipulation of small and large data sets. Automation using scripting. Real-world applications from life sciences; physical sciences; economics; engineering; or psychology. No prior computing background is required. Credit will be granted for only one of COSC 301; DATA 301 or DATA 501. ,[3-2-0],3,,1;1;1;0,DATA301;DATA501,,3;COSC111;COSC122,,,,,,,
COSC303,Numerical Analysis,Numerical techniques for basic mathematical processes and their analysis. Taylor polynomials; root-finding; linear systems; eigenvalues; approximating derivatives; locating minimizers; approximating integrals; solving differential equations. Credit will be granted for only one of COSC 303 or MATH 303.,[3-1-0],3,,0;1;0;0,MATH303,,MATH200,MATH221,COSC111;DATA301,,,,,
COSC304,Introduction to Databases,Databases from a user's perspective: querying with SQL; designing with UML; and using programs to analyze data. Construction of database-driven applications and websites and experience with current database technologies.,[3-2-0],3,,1;0;0;0,,,3,COSC111;COSC123;COSC210,,,,,,
COSC305,Project Management,Examine tools and techniques to complete projects successfully; and within budget. Topics include Program Evaluation and Review Technique (PERT) and Critical Path Methods (CPM); and project management software.,[3-2-0],3,,0;1;0;0,,,,,,,COSC310,,,
COSC310,Software Engineering,Techniques to construct large systems using fundamental activities of specification; design; implementation; testing; and maintenance. Various life cycle models; exposure to software development tools; modelling techniques; good development practices; and project management.,[3-2-0],3,,1;1;0;0,,,3,COSC210;COSC222;COSC223,,,,,,
COSC315,Introduction to Operating Systems,Introduction to batch; multiprogramming; and time-sharing systems. Process synchronization and communication. Main memory allocation techniques including virtual memory; process scheduling; deadlock avoidance and prevention; file organization and device management.,[3-2-0],3,,1;0;0;0,,,COSC221,COSC222,,,,,,
COSC320,Analysis of Algorithms,Design and analysis of algorithms; illustrated from various problem areas. Models of computation; choice of data structures; space and time efficiency; computation complexity; algorithms for searching; sorting and graph-theoretic problems; NP-complete problems. Credit will be granted for only one of COSC 320 or COSC 520. ,[3-0-0],3,,0;1;0;0,COSC520,,COSC221,COSC222,,,,,,
COSC322,Introduction to Artificial Intelligence,AI and intelligent agents; state space search; game playing agents; logic and knowledge-based agents; constraint programming; planning; reasoning and decision making under uncertainty; machine learning; natural language understanding. ,[3-2-0],3,,0;1;1;0,COSC522,,COSC221,COSC222,,,,,,
COSC328,Introduction to Networks,The five-layer Internet architecture using TCP/IP: application; transport; network; link; and physical. Topics include web protocols; network programming; routing; addressing; congestion control; error handling; Ethernet; wireless networks; security; multimedia transmission; and network management.,[3-2-0],3,,1;0;0;0,,,COSC221,COSC222,,,,,,
COSC329,Learning Analytics,Introduction to data analytics and machine learning techniques in the context of educational data. Focuses on user profiling; collaborative filtering; clustering; Bayesian user modeling; preference elicitation; and plagiarism detection. Credit will be granted for only one of COSC 329; COSC 419C; or COSC 519C.,[3-0-0],3,,1;0;0;0,,,COSC222,STAT121;STAT230,,,,,,
COSC331,Principles of Computer Science,An introduction to different programming paradigms and theories of computation. Functional programming and basics of lambda calculus; logic programming and basics of propositional and first-order logic; regular languages and finite automaton. Credit will be granted for only one of COSC 331 or COSC 231.,[3-2-0],3,,0;0;0;0,,,COSC222,,,,,,,
COSC335,Introduction to Medical Imaging and Imaging Informatics,Fundamental image analysis techniques. Image creation; manipulation; optimization; and analysis to aid in the diagnosis and treatment of human health conditions. Generation and display of X-ray; CT; MRI; Ultrasound and Nuclear Medicine images. Imaging Informatics and its place in the Electronic Medical Record. Credit will be granted for only one of COSC 335 or PHYS 336. ,[3-2-0],3,,0;1;0;0,,PHYS336,COSC222-60,PHYS121-60;PHYS122-60,,,,,,
COSC341,Human Computer Interaction,Examines the basic principles behind interaction design; how humans interact with computers; as well as the user-centered design cycle; user task analysis; task models; graphical interface design; prototyping; and evaluation. Credit will be granted for only one of COSC 341 or COSC 541.,[3-2-0],3,,0;1;0;0,COSC541,,3,COSC111;COSC121;COSC123;COSC301,,,,,,
COSC344,Image Processing and Applications,"Fundamental theoretical and practical concepts for processing and analyzing real-world digital images and videos, image enhancement and filtering, frequency domain and other transform analysis, morphological image operations, image segmentation, and object recognition.",,3,,1;0;0;0,COSC44;COSC435;COSC445,,COSC210;COSC222,MATH200;APSC248,MATH221;APSC179,,,,,
COSC360,Web Programming,Design and implementation of web-based information systems and app development. Rich user interfaces; asynchronous updates; client-side and server-side scripting using standard technologies such as HTML; CSS; SVG; JavaScript; PHP. Data manipulation with SQL; JSON; XML. Modern scripting frameworks and libraries.,[3-2-0],3,,0;1;0;0,,,3,COSC121,COSC304,,,,,
COSC404,Database System Implementation,Fundamental concepts in constructing database systems including file organizations; storage management; system architectures; query processing/optimization; transaction management; recovery; and concurrency control. Additional topics may include distributed databases; mobile databases; and integration. Credit will be granted for only one of COSC 404 or COSC 504.,[3-2-0],3,,0;0;0;0,,,COSC304,3,,,,,,
COSC405,Modelling and Simulation,Numeric dynamic systems models and emphasis on discrete stochastic systems. State description of models; common model components; entities. Common simulation language. Simulation using algebraic languages. Simulation methodology: data collection; model design; output analysis; optimization; validation. Elements of queuing theory; relationship to simulation. Applications to computer systems models. Credit will be granted for only one of COSC 405; DATA 405; COSC 505; or DATA 505. ,[3-2-0],3,,0;0;0;0,,,COSC221,COSC222,,,,,,
COSC406,Numerical Optimization,Formulation and analysis of algorithms for continuous optimization problems; linear; quadratic; semi-definite; nonlinear (constrained and unconstrained); convex (smooth and non-smooth) optimization; large-scale problems; software packages and their implementation; elements of duality theory. Credit will not be granted for both COSC 406 and COSC 506. ,[3-2-0],3,,1;0;0;0,COSC506,,MATH200;APSC248,MATH221;APSC179,,,,,,
COSC407,Introduction to Parallel Computing,Design and implementation of parallel programs including theoretical computer models; parallel architectures (distributed; multicore; GPU); and standard parallel libraries. Credit will be granted for only one of COSC 407 or COSC 507.,[3-2-0],3,,0;1;0;0,COSC507,,COSC111;APSC177,3,,,,,,
COSC414,Computer GRaphics,Human vision and colour; modelling; geometric transformations; algorithms for 2-D and 3-D graphics; hardware and system architectures; shading and lighting; animation. ,[3-2-0],3,,1;0;0;0,,,COSC221,COSC222,MATH221;APSC179,,,,,
